name,address,categories,description,services,email,pops_served,hand_sort__001,crisis_line,business_line,fax_number,insurance ,cost,languages,website,hand_sort__002,hand_sort__003,hand_sort__004,hand_sort__005,hand_sort__006,hand_sort__007,hand_sort__008,hand_sort__009,hand_sort__010,hand_sort__011,hand_sort__012,hand_sort__013,hand_sort__014,hand_sort__015,hand_sort__016,hand_sort__017,hand_sort__018,hand_sort__019,languges,wheelchair
Body Tales 54,P.O. Box 3454 Oakland CA 94609,Body Work,"Trainings in body movement, creative expression, communication and healing.",Check website for class schedule in SF Bay Area. Continuing education units for M.F.T.s and L.C.S.W.s,info@bodytales.com,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,www.bodytales.com,TDD:,Insurance: Fees: Hours: Ages:,510-532-1020,Varies Varies,,Wheelchair Accessible: Languages,,,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Bridges from School to Work 55,"785 Market St., Suite 700 San Francisco CA 94103",Employment Youth,Develops and supports mutually beneficial job placements to meet the workforce needs of local employers and the vocational goals of young people.,"Assists high school senior at San Francisco Unified School District in obtaining part-time paid employment. To qualify for these services, the youth need to be 17-21 years of age and",,16- 22,Crisis line: Business line: Fax:,,,,,,,www.marriottfoundation.org,TDD:,Insurance: Fees: Hours: Ages:,415-227-4330 x,415-227-4527,FREE,9-5 M-F,All,,Many,,,,,,,,,,Many,This entry needs Wheelchair accessibliy info
Building Opportinities for Self Sufficiency (BOSS) 56,"2065 Kittredge St., Suite E Berkeley CA 94704",Social Justice Survivors with Disabilities,"Help homeless, poor, and disabled people achieve health and self-sufficiency, while fighting against the root causes of poverty and homelessness","Advocacy, organize community members, educate and support leadership development",,All,Crisis line: Business line: Fax:,,,,,,,www.self-sufficiency.org,TDD:,Insurance: Fees: Hours: Ages:,510-649-1930,510-649-0627,,Wheelchair Accessible: Languages,,,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Cal Queer & Asian 57,ACUC 305 Eshleman Hall Berkeley CA 94720,This entry needs a categories list,"A safe space dedicated to addressing queer and Asian & Pacific Islander issues at the UC Berkeley. All races, ethnicities, genders and sexualities are welcome",Social and support group.,calqa@queer.berkeley.edu,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,http://calqanda.blogspot.com/ Categories:,TDD:,Insurance: Fees: Hours: Ages:,510-643-8429,FREE,Varies All,,Wheelchair Accessible: Languages,Yes,Asian/Pacific Islander LGBTQII Support Groups,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
California Coalition for Women Prisoners (CCWP) 58,"1540 Market St, Ste 490 San Francisco CA 94102",Incarcerated Social Justice Support Groups,"CCWP is a grassroots social justice organization, with members inside and outside prison, that challenges the institutional violence imposed on women, transgender people, and","Advocacy for within prison conditions, advocacy for release of battered women prisoners and women incarcerated due to the drug war, support political prisoners.",info@womenprisoners.org,"All women, transgender and gender non- conforming people in CA prisons, former",Crisis line: Business line: Fax:,,,,,,,www.womenprisoners.org,TDD:,Insurance: Fees: Hours: Ages:,415-503-0799,415-255-7036 x,415-522-3150,By appt. all,,Wheelchair Accessible: Yes,"Spanish, English",,,,,,,,,,"Spanish, English",This entry needs Wheelchair accessibliy info
California Counseling Institute 59,4614 California St. San Francisco CA 94118,Counseling: Licensed Support Groups Youth,"Center offers couples, individual, family,group, teen counseling. No documentation required.","Depression, anxiety, loss and grief, child abuse, career issues.",,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,http://www.californiacounselin g org/,TDD:,Insurance: Fees: Hours: Ages:,415-752-1702,Yes,Sliding scale,8am-8pm M-F All,,Wheelchair Accessible: No,"Cantonese, French, German",,,,,,,,,,"Cantonese, French, German",This entry needs Wheelchair accessibliy info
California Indian Legal Services 60,"3814 Auburn Boulevard, Suite 7 Sacramento CA 95821",Native American Legal: Services,Indian-controlled non-profit law firm that provides free legal services to low income individuals,This entry needs a services list,,Native-Americans,Crisis line: Business line: Fax:,,,,,,,www.calindian.org,TDD:,Insurance: Fees: Hours: Ages:,800-829-0284,916-978-0964,M-F 9a-5p,,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
California Prevention Education Project 61,1504 Franklin St #302 Oakland CA 94612,Counseling: Peer HIV/AIDS Sex Workers,To prevent the spread of HIV/AIDS in San Francisco and Alameda counties. No documentation required.,"HIV testing(W & Th 9:30-5p), subtance abuse counseling, educational outreach, a youth drop-in center, research interventions,case management, and advocacy",info@calpep.org,"All, sex workers and drug users",Crisis line: Business line: Fax:,,,,,,,www.calpep.org,TDD:,Insurance: Fees: Hours: Ages:,510-874-7850,510-839-6775,FREE,8:30-5 M-F,16+,,Wheelchair Accessible: Languages,Yes,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
California Relay Service 62,6436 Oakdale Road Riverbank CA 95367,24hr Services Survivors with Disabilities,Service which relays telephone calls between the deaf community and hearing public.,This entry needs a services list,This entry needs an email address,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,800-735-2922,FREE 24/7,All,,Spanish,,,,,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
California Youth Crisis Line 63,PO BOX 163147 Sacramento CA 95816,Hotlines Youth Significant Others,"Hotline for at risk and homeless youth. Also takes calls from parents, but all calls are confidential.","Provides crisis counseling, referrals to shelter and other services.",cycl@calyouth.org,"Youths ages 12-24, Families and friends of young people, Youth-serving agencies",Crisis line: Business line: Fax:,,,,,,,http://www.youthcrisisline.org/,TDD:,Insurance: Fees: Hours: Ages:,800-843-5200,916-340-0505,916-340-0510,N/A FREE 24/7,24-Dec,,Wheelchair Accessible: No,"Spanish, Varies",,,,,,,,,"Spanish, Varies",This entry needs Wheelchair accessibliy info
Cameron House 64,920 Sacramento St. San Francisco CA 94108,Asian/Pacific Islander Counseling: Licensed Support Groups,"Indiv. & family counseling for Asian women. Focus on Domestic Violence, but do general counseling as well. No documentation required.","Program for youth in the Chinese community. Has single mothers, newcomers, and cancer support groups. Individual and group counseling.",,"Chinese, Vietnamese",Crisis line: Business line: Fax:,,,,,,,www.cameronhouse.org,TDD:,Insurance: Fees: Hours: Ages:,415-781-0408,415-781-0605,N/A FREE,9-5 M-F,,Wheelchair Accessible: No,"Cantonese, Vietnamese, Mandarin",,,,,,,,,,"Cantonese, Vietnamese, Mandarin",This entry needs Wheelchair accessibliy info
Career Resource Develpment Center 65,,Employment,This entry needs a description,This entry needs a services list,,This entry needs a populations served list,"875 O'Farrell Street, Room 102 San Francisco CA 94109",,,,,,,www.crdcsf.org,Fees: Hours: Ages:,8:30am-8:30pm M-F,,"Adult basic education, clerical vocational training, ESL classes, medical clerical vocational training, hospitality service training, refugee services program, access to computer labs, as",Wheelchair Accessible: Languages,well as Certificate in MS Win Office,,,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Castro Mission Health Center 67,3850 17th St San Francisco CA 94114,Counseling: Licensed LGBTQII Health Clinics,Provides mental health services to transgender and gender variant clients.,"Also provides sexual health services to LGBTQI youth under 25, includes STD testing, pelvic exams, check-ups, immunizations, case management.",This entry needs an email address,"Trans, les/gay, youth",Crisis line: Business line: Fax:,,,,,,,E-mail,TDD:,Insurance: Fees: Hours: Ages:,415-487-7500,,Wheelchair Accessible: Languages,,,,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Catholic Charities CYO 68,"180 Howard Street, Suite 100 San Francisco CA 94105",Elders (55+) Youth Housing/Shelter,Provide a variety of community services to people of all faiths.,"Adoption, Aging Services, Children's Programs, Counseling, CYO,",,low income,Crisis line: Business line: Fax:,,,,,,,www.cccyo.org,TDD:,Insurance: Fees: Hours: Ages:,415.972.1200,415-202-0930,FREE,,"Family Housing, Assisted Housing & Health Services, Meals on Wheels, Refugee &",Yes,"Immigrant Services, St. Vincent's Youth",Spanish,,,,,,,,,Spanish,Yes
Cavalcade Productions 69,P.O. Box 2480 Nevada City CA 95959,This entry needs a categories list,"Video production company with training materials concerning child ritual abuse, incest and psychological trauma.",Have low cost videos for survivors regarding the following issues: Trauma & substance abuse; traumatic memory; impact of severe childhood,,Mental health professionals,Crisis line: Business line: Fax:,,,,,,,www.calvacadeproductions.co Categories:,TDD:,Insurance: Fees: Hours: Ages:,800-345-5530,800-345-5530,9-5 M-F,18+,,Wheelchair Accessible: Languages,m,Ritual Abuse,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Center For Gender Equity & Sexual Violence 70,San Francisco CA 94143,Self Defense Social Justice,"Provides advocacy, support services and education to men and women of UCSF and the community.","Self-defense classes offered throughout the year, women and gender resources, sexual and relationship violence resources, LGBT resources",,Changed from primarily serving UCSF community to general public,Crisis line: Business line: Fax:,,,,,,,www.ucsf.edu/cge,TDD:,Insurance: Fees: Hours: Ages:,415-476-5836,415-502-7413,No,$0-75,8-5 M-F,All,,Wheelchair Accessible: Languages,Yes,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Center for Human Development 71,"391 Taylor Boulevard, Ste 120 Pleasant Hill CA 94523",This entry needs a categories list,"Non-profit that promotes health and well-being of individual, families, and communities.","Provides a variety of different programs including: Conflict Resolution Panel, Empowerment Project (HIV prevention program including community outreach",info@chd-prevention.org,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,www.chd-prevention.org Categories:,TDD:,Insurance: Fees: Hours: Ages:,925-687-8844,,Wheelchair Accessible: Languages,Social Justice,,,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Center for Independent Living 72,2539 Telegraph Ave. Berkeley CA 94704,Survivors with Disabilitie,Organization which helps disabled people live independently. No documentation required.,"Provides advocacy, information, other services, which include attendant referral services, an Asian/Latino Outreach Project,Deaf & Blind services, peer counseling, legal advice, youth",,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,www.cilberkeley.org,TDD:,Insurance: Fees: Hours: Ages:,510-841-4776,510-841-6168,510-848-3101,Sliding scale 9-5 M-F,All,,Yes,services.,"Spanish, Varies",,,,,,,,"Spanish, Varies",Yes
Center for Somatic Psychotherapy 73,1119 Market St. #300 San Francisco CA 94103,This entry needs a categories list,"Individual, couple, family counseling. Don‰Ûªt see people in full psychosis or who are addicted, unless in rehab. Staff are MFCC interns.","Individual, couple, family counseling. Some support groups.",,work with survivors of trauma,Crisis line: Business line: Fax:,,,,,,,www.somaticpsychotherapyce Categories:,TDD:,Insurance: Fees: Hours: Ages:,415-558-0880,No,$15-$70,Varies All,,Wheelchair Accessible: No,"Spanish, Cantonese, Varies",nter org,Somatic Healing Counseling: Peer,,,,,,,,"Spanish, Cantonese, Varies",This entry needs Wheelchair accessibliy info
Center for Southeast Asian Refugee Resettlement 74,875 O‰ÛªFarrell St. San Francisco CA 94109,Immigrant Asian/Pacific Islander HIV/AIDS,Provides services to primarily South East Asian immigrants. No documentation required.,"Will help with translation, all aspects of immigration, including getting a green card. Also has health education & AIDS prevention program.",This entry needs an email address,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,415-885-2743,415-885-3253,Sliding scale 8-5 M-F,All,,Wheelchair Accessible: Yes,Many,,,,,,,,,,Many,This entry needs Wheelchair accessibliy info
Center for Special Problems 75,1700 Jackson St. San Francisco CA 94109,Counseling: Licensed Perpetrators,"Adult mental health center focusing on working with individuals who struggle with violence, victimization, sexual identity, and HIV/AIDS.",HIV program. Offers in-service training to the community. Individual and group counseling to women and men who are victims of sexual or physical violence.,This entry needs an email address,"violence offenders, victims, transgender and people with HIV/AIDS",Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,415-292-1500,415-292-2030,Yes,Sliding scale Varies,16+,,Wheelchair Accessible: Yes,"Spanish, Mandarin, Cantonese",,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Center for Violence-Free Relationships: El Dorado 76,"344 Placerville Drive, Suite 11 Placerville CA 95667",CA Rape Crisis Center,"Dedicated to building healthy relationships, families and communities free from sexual assault and domestic violence through education, advocacy and services.",Wheelchair Accessible: Yes,info@thecenternow.org,El Dorado County,Crisis line: Business line: Fax:,,,,,,,www.thecenternow.org,TDD:,Insurance: Fees: Hours: Ages:,530-626-1131,530-626-1450,530-626-6895,FREE,9-5 M-F,13+,,Spanish,,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
Central American Resource Center (CARECEN) 77,1245 Alabama St San Francisco CA 94110,Latina Social Justice,Provides vital direct services and advocacy to help create a vibrant and thriving Latino immigrant community in San Francisco and the Bay Area.,"Legal services, public education, health clinic, dental clinic, case management, counseling, tattoo removal program, youth group (jovenes unidos), parent empowerment group.",,"Central American, immigrants, refugees, parents, youth, homeless, low-income",Crisis line: Business line: Fax:,,,,,,,www.carecensf.org,TDD:,Insurance: Fees: Hours: Ages:,415-642-4400,9-5 M-F,,Spanish,,,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
