name,description,categories,crisisLine,businessLine,website,email,address,fax,cityState,payment,zip,accessibility,hours,languages
SAVE: Shelter Against Violent Environments,"30-bed shelter for battered women and their children. May stay up to 60 days. No documentation required. Must be clean and sober at shelter. Provide case management, individual & group counseling, employment services, legal advice, help with TRO's - weekly clinic, 24 hour domestic violence crisis line (collect calls accepted). Serves battered women and their children, law enforcement, work closely with Indo-American community.","Domestic Violence, Hotlines, Shelter/Transitional Housing",510-794-6055,510-574-2250,save-dv.org,info@save-dv.org,1900 Mowry Ave. #204,510-574-2252,"Fremont, CA",Free,94538,Wheelchair,M-F 9am-5pm,"SPA, PAN, HIN"
Schneider & Wallace,"California civil rights law firm. Services includes civil rights, sexual harassment, employment discrimination, disability rights, class action litigation. Toll Free # 800- 689-0024. TDD: 415-440-3739","Legal: Attorney, TDD",800-689-0024,415-421-7100,schneiderwallace.com,info@schneiderwallace.com,"180 Montgomery, Suite #2000",415-421-7105,"San Francisco, CA",,94104,Wheelchair,M-F 9am-5pm,
Self Help for the Elderly,"Organization that provides services to people over 60 living in SF, San Mateo & Santa Clara counties. No documentation required. Provides meals, activities, employment training, Alzheimer's day care, case management, low-income housing. Serves Senior citizens living in SF, San Mateo, and Santa Clara Counties.","Elders (55+), Shelter/Transitional Housing, Job/Employment Services",,415-677-7600,selfhelpelderly.org,info@selfhelpelderly.org,731 Sansome St. Suite 100,415-296-0313,"San Francisco, CA","Private insurance, Sliding scale",94111,Wheelchair,M-F 8:30am-5pm,"SPA, CAN, CHI, TGL"
Self-Defense Classes at City College,Self defense for women (PE class at City College) taught by Judith Fein. Serves anyone enrolled in CCSF,Self-Defense,,415-239-3000,ccsf.edu,,50 Phelan Avenue,,"San Francisco, CA",,94112,,,
Senior Information & Referral,"(Runs 24/7 Elder Abuse Referral line.) Provides information and referrals for seniors and agencies which serve them. No documentation required. Takes reports of elder abuse, assists with health care, housing, legal advice.","Hotlines, Elders (55+), Legal: Services",415-355-6700,415-355-3555,sfhsa.org/DAAS.htm,daas@sfgov.org,1650 Mission Street Suite 500,415-864-3991,"San Francisco, CA",Free,94103,Wheelchair,M-F 8am-5pm,"SPA, CAN, CHI, RUS, TGL, Varies"
Sex Workers Outreach Project USA (SWOP),"Assistance facilitating a complaint to the police, legal referrals, advice or general support to sex workers.","Sex Workers, Hotlines",877-776-2004,877-776-2004,swopusa.org,info@swop-usa.org,309 Cedar ST #200,,"Santa Cruz, CA",,95060,,24/7,Mostly SPA
Sexual Assault & Domestic Violence Center,CA Rape Crisis Center- Woodland,CA Rape Crisis Center,530-662-1113,530-661-6336,sadvc.org,lynette.erlmeier@sadvc.org,175 Walnut St,530-661-3021,"Woodland, CA",,95695,,,
Sexual Assault Victim Services,CA Rape Crisis Center- Santa Ana. Alt Crisis Line # 949-831-9110,CA Rape Crisis Center,,949-250-0488,cspinc.org,generalinfo@CSPinc.org,1821 E. Dyer Rd.Suite 120,714-540-1908,"Santa Ana, CA",,92705,,,
SF AIDS Foundation,"No documentation required. Will see people under 18 without parental permission. Refers out for AIDS/HIV testing. Toll Free # 866-245-3424. Provides referrals, case management, housing, emergency services, crisis counseling to people with HIV/AIDS. HIV testing, call for test times. Needle exchange all over town, all the town, for everyone. Community education.","HIV/AIDS, Hotlines",866-245-3424,415-581-7077,sfaf.org,info@aidslifecycle.org,1035 Market St. #400,415-581-7079,"San Francisco, CA",Free,94103,,,"TGL, SPA"
SF Bar Assoc. Volunteer Legal Services Program (VLSP),"Referral service for SF Bar Association. Match clients with a lawyer for a 1/2 hour consultation. Makes referrals to other government or social service agencies as appropriate. Support around sexual harrassment. Civil law, domestic violence, TRO, divorce. Serves low income, non-English speaking. TDD: 415-267-0785","Legal: Services, TDD",415-989-1616,415-982-1600,sfbar.org,iris@sfbar.org,301 Battery St. 3rd Floor,415-477-2388,"San Francisco, CA",$25 one-time,94111,Wheelchair,M-F 8:30am-5:30pm,"CHI, SPA, VIE, ITA, FRE"
SF Child Abuse Reporting,"To report suspected cases and of child abuse, neglect and sexual abuse. No documentation needed. Provides consultations about suspected child abuse and guidance to file a report to child protected services. Other: 415-558-2650","Child Sexual Abuse (Child, Client) Hotlines",800-856-5553,415-558-5000,,,170 Otis St.,415-558-2211,"San Francisco, CA",,94110,,,
SF DA's Office Victim Services Program,"provide advocacy and support to victims of crimes and witnesses to crime. Provides financial reimbursement for victims of violent crime (for lost wages, counseling, etc.); survivor must have filed police report.","Legal: D.A./Police, Legal: Services",415-552-7550,415-553-9044,sfdistrictattorney.org,,"850 Bryant St, Room 320",415-553-1034,"San Francisco, CA",Free,94103,Wheelchair,M-F 9am-4pm,
SF Dental Society Referral Service,Referral service that matches clients with dentists in San Francisco.,Medical/Health Services,,415-928-7337,sfds.org,exec@sfds.org,2143 Lombard St.,415-928-5297,"San Francisco, CA",Free,94123,Wheelchair,M-F 9am-5pm,
SF District Attorney's Office,"Bureau of Investigations: 415-553-1030. Services include crisis Intervention, emergency assistance, follow up services for victims/survivors.","Legal: D.A./Police, Legal: Services",415-553-1751,415-553-1754,sfdistrictattorney.org/,districtattorney@sfgov.org,"850 Bryant St, Room 320",,"San Francisco, CA",Free,94103,Wheelchair,M-F 8am-5pm,
SF Drug Information Line (Part of Suicide Prevention),"Provides information on effects of drugs as well as referrals to drug rehabilitation clinics. Volunteer crisis line and emotional support. 415-834-1144 (Relapse Line), 415-362-3400 (Drug Line)","Substance Abuse, Hotlines",415-362-3400,415-984-1900,sfsuicide.org,,P.O. Box 919350,,"San Francisco, CA",Free,94119,Wheelchair,24/7,"SPA, Varies"
SF General Hospital / Womens Clinic,"Family Planning Clinic. Supportive options for women who wish to participate fully in childbirth experience. No documentation required. Clinic provides abortions, counseling, birth control, pregnancy testing, morning after pill, HIV testing. Also has family planning teen clinic.",Medical/Health Services,415-206-3409,415-206-8000,,,1001 Potrero Ave @ 23rd St.,,"San Francisco, CA",Sliding scale,94110,Wheelchair,M-F 8:30am-5pm,"SPA, Varies"
SF Homeless Outreach Team (SF HOT),"Caseworkers conduct outreach offer benefits such as medical and mental health services, substance abuse treatment, transitional housing opportunities, and, eventually, permanent housing. Crisis and Business Line are both dispatch lines. 3-1-1 can used to dispatch. ONLY serves people who are homeless.",Substance Abuse,415-203-6643,415-203-9963,,rajesh.parekh@sfdph.org,1060 Howard St,,"San Francisco, CA",Free,94103,,"Sa-Su 4am-8pm, M-F 6am-9pm",SPA
SF Human Rights Commission,"Provides leadership and advocacy to secure, protect and promote human rights for all people. LGBT & HIV Division Human Rights Commission mediates and investigates complaints of discrimination in employment. Provides services and advocacy for housing, LBGT, and employment discrimination to all SF residents. TDD: 800-735-2922","Policy Advocacy, Job/Employment Services, TDD",,415-252-2500,sf-hrc.org,hrc.info@sfgov.org,"25 Van Ness, #800",415-431-5764,"San Francisco, CA",Free,94102,Wheelchair,M-F 8am-5pm,"SPA, TGL, CAN"
SF Mental Health Access Line,Provides listings of different counseling services within SF,"Counseling: Licensed, Counseling: Peer, Hotlines",888-246-3333,415-255-3737,https://sfdph.org/dph/comupg/oservices/mentalHlth/CBHS/default.asp,,"1380 Howard Street, 5th Floor",,"San Francisco, CA",Free,94103,,24/7,
SF Police Child Abuse Hotline,"To report suspected cases of child abuse, neglect and sexual abuse. Also investigates incest cases and crimes commited by a person of trust. To report abuse: 415-558-2650","Child Sexual Abuse (Child, Client) Legal: D.A./Police, Hotlines",415-558-2650,415-558-5500,sf-police.org/,,3401 17th St.,,"San Francisco, CA",Free,94110,Wheelchair,24/7,"SPA, Varies"
SF Sex Information Hot line,"A telephone switchboard providing free, accurate , anonymous, non judgmental information. Provide information & referrals for questions about sex. Will do peer counseling over the phone on a one-time basis--not counseling. Community education.","Counseling: Peer, Hotlines",415-989-7374,415-989-7370,sfsi.org,ask-us@sfsi.org,P.O. Box 881254,,"San Francisco, CA",Free,94188,,"M-Th 3pm-9pm, F 3pm-6pm, Sa",SPA 2pm-5pm
SF Suicide Prevention Hotline,"24hr tollfree suicide prevention line available to anyone with a suicidal crisis. Services include 24-hour telephone crisis counseling, suicide prevention line, alcohol & drug help line. Low fee counselining group for survivors of suicide, groups for anger management/domestic violence treatment. Youth outreach. TDD: 415-227-0245","Hotlines, Suicide, TDD",415-781-0500,415-984-1900,sfsuicide.org,info@sfsuicide.org,P.O. Box 191350,415-227-0247,"San Francisco, CA",Free,94119,,24/7,SPA
SF Trauma Recovery & Rape Treatment Center,"Social workers and nurses provide medical care, counseling, evidence collection. Survivors do not have to file a police report to be seen. Services include 24 hour crisis line, Groups for survivors, trainings for police and community based orgs. On-site counseling. Serves all who have been victims/survivors of SA/attempted SA in San Francisco area.","Counseling: Licensed, Support Groups, Hotlines, Medical/Health Services",415-437-3000,415-437-3000,traumarecoverycenter.org,,2727 Mariposa St. #100,415-437-3050,"San Francisco, CA",Free,94110,Wheelchair,"M-F 8am-5pm, Tu 8am-7pm",Interpreter for all languages
SF Youth Commission,Members between the ages of 12 to 23. The commission serves in an advisory role to the Board of Supervisors and to the office of the Mayor. They make sure youth' s voices are heard in city hall.,"Youth, Policy Advocacy",,415-554-6446,sfgov.org/yc,youthcom@sfgov.org,1 Dr. Carlton B. Goodlett Place,415-554-6140 #345,"San Francisco, CA",Free,94102,Wheelchair,M-F 9am-5pm,SPA
SFGH Psychiatric Emergency Services (PES),"Team of psychiatrists, psychologists, nurses, clinical social workers, psychiatric technicians, and psychiatry residents provide crisis stabilization, crisis intervention psychiatric assessment, outpatient psychotherapy. The service operates 24 hours a day, seven days a week and provides crisis stabilization, complete medical and psychiatric assessment and evaluation services and initial treatment, if appropriate.",24-Hour Services,415-206-4478,415-206-8125,,,1001 Potrero Ave,415-206-8623,"San Francisco, CA",,94110,Wheelchair,24/7,
SFPD Non-Emergency Police Response,,Legal: D.A./Police,,415-553-0123,sf-police.org/index.aspx?page=38,,,,"San Francisco, CA",,,,,
Shalom Bayit,"Bay Area Jewish women working to end violence. Provides advocacy, information and referrals, and services counseling to Jewish women who have been in an abusive relationship. Services include crisis intervention, ongoing support, group and individual work, phone and in-person services. Serves women of all Jewish backgrounds & affiliations.","Domestic Violence, Hotlines, Policy Advocacy",866-742-5667,510-451-8874,shalom-bayit.org,info@shalom-bayit.org,PO Box 10102,510-451-8875,"Oakland, CA",Free,94610,,,
Shanti Project,"Agency which provides emotional and practical support for people with AIDS. Will help with errands, transportation, companionship. Specialized program for monolingual Latinos, case management services, social/cultural activities program, speakers bureau, drop-in center. Serves minority populations, gay/lesbian, IVDU, indigent, PWAS.",HIV/AIDS,,415-674-4700,shanti.org,,730 Polk ST - 3rd Floor,415-674-0373,"San Francisco, CA",Free,94109,Wheelchair,M-F 9:30am-5pm,SPA
"Sharon Kman, M.S., CRC, M.Ft.","Private practice therapy specializing in sexual assault, incest, and dissociative disorders. Services include one on one counseling.","Ritual Abuse, Child Sexual Abuse (Adult, Client) Counseling: Licensed",,415-237-2310,,NORSHAR@IX.Netcom.com,4154 24th St.,415-431-8628,"San Francisco, CA","Private insurance, $25-35",94114,,,
"Shasta Women's Refuge, Inc. (One Safe Place)",CA Rape Crisis Center- Redding,CA Rape Crisis Center,530-244-0117,530-244-0118,ospshasta.org/,lkickerson@scwr.org,2280 Benton Dr. Building A,530-244-2653,"Redding, CA",,96003,,,
Sidran Institute,"National non-profit press which specializes in tapes and educational materials about dissociative disorders. Services include educational programming, workshops, training demonstration clinic. Serves family, children, social service professionals.",Ritual Abuse,,410-825-8888,sidran.org,info@sidran.org,PO Box 436,410-560-0134,", MD",,21022,,M-F 6am-2pm,
Silver Avenue Health Center,"Medical, dental, maternal, child/adolescent health care given.",Medical/Health Services,,415-657-1700,sfdph.org,,1525 Silver Ave,415-467-3320,"San Francisco, CA",,94134,,M-F 8am-5pm,
Siskiyou Domestic Violence & Crisis Center,CA Rape Crisis Center - Yreka,CA Rape Crisis Center,877-842-4068,530-842-6629,sdvcc.org,sdvcc@snowcrest.net,118 Ranch Ln.,530-842-9724,"Yreka, CA",,96097,,,
Southeast Asian Community Center (formerly Center for Southeast Asian Refugee Resettlement),"Provides services to primarily South East Asian immigrants. No documentation required. Will help with translation, all aspects of immigration, including getting a green card. Also has health education & AIDS prevention program. Language translation and interpretation services.","Immigrant Resources, Asian/Pacific Islander, HIV/AIDS",,415-885-2743,seaccusa.org,,875 O'Farrell St.,415-885-3253,"San Francisco, CA",Sliding scale,94109,Wheelchair,M-F 8am-5pm,
St. Anthony Foundation,"No documentation required. Free meal. Free medical clinics; a social work center; a free clothing program; rehab, employment program. Serves homeless and very low income for anyone. Dining room at 121 golden gate avenue address 10 am-1:35. Social work center for resources, free clothing program, tech lab to learn computer skills, social action dept to volunteer in.","Shelter/Transitional Housing, Emergency Services",,415-241-2600,stanthonysf.org,info@stanthonysf.org,150 Golden Gate Ave.,415-440-7770,"San Francisco, CA",Free,94102,Wheelchair,,"SPA, CHI, TGL"
St. James Infirmary,"Provides confidential, non-judgemental medical and social services for current and former sex workers of all genders. Sex work positive. Services include case managfement, therapy, and weekly support group for current, former and transitioning female sex workers. Monthly support group for male sex workers and body workers. Primary medical care, urological and gynecological care. Serves sex workers of all persuasions and kinds. Check website for clinic calendar.","Medical/Health Services, Sex Workers, LGBQQ",415-554-9634,415-554-8494,stjamesinfirmary.org/,admin@stjamesinfirmary.org,1372 Mission St.,415-554-8444,"San Francisco, CA",Free,94103,Wheelchair,W 6pm-9pm for drop in,"SPA, KOR, THA, VIE, CAN, CHI (by request)"
STAND! For Families Free of Violence,"Services include 24-hour crisis line, transitional housing (6 months to 1 year), 6 week shelter, safe home program. Individual, group counseling (lesbians, Latina, African American women,). Legal clinic, men's program, children's program, teen program. Serves clients ages 18+/emancipated, battered lesbians, African American, Latina, Korean, Teens, accepts pregnant women. Must be clean & sober or currently in substance abuse program","Hotlines, Domestic Violence, Shelter/Transitional Housing",888-215-5555,925-676-2845,standagainstdv.org,info@standffov.org,"1410 Danzig Plaza, Suite 100",925-676-0532,"Concord, CA",Sliding scale,94520,,24/7,"SPA, Many"
State Department of Rehabilitation,Provides vocational rehabilitation services to individuals with significant disabilities. TDD: 415-904-7100,"Job/Employment Services, Disability, TDD",,415-904-7100,dor.ca.gov,,301 Howard St Suite 700,415-5975810,"San Francisco, CA",Private insurance,94105,Wheelchair,M-F 8am-5pm,"SPA, CAN, CHI, RUS, TGL"
Strength United (formerly Valley Trauma Center),CA Rape Crisis Center- Northridge. 24/7 Crisis Lines: San Fernando- 818-886-0453 and Santa Clara- 661-253-0258 Counseling services for sexual assault survivors. Domestic Violence clients need a police report.,CA Rape Crisis Center,818-886-0453,818-787-9700,csun.edu/eisner-education/strength-united,ruth@valleytraumacenter.org,14651 Oxnard st,,"Van Nuys, CA",Free,91411,Wheelchair,Mon-Thurs 8-8. Fri 8-5. Sat 9-2.,SPA
Sunset Mental Health,"Community mental health clinic. Crisis, short term therapy. Serves homeless, low income clients.",Medical/Health Services,,415-753-7255,,,1990 41st Ave,415-753-0164,"San Francisco, CA",,94116,,M-F 8:30am-5pm,
Support Network for Battered Women,"Empower women and their children and their families to live their lives free of violence. Services include crisis intervention, children's program, legal assistance with R.O., criminal court accompaniment, community outreach, support groups and human trafficing department- prevention, counseling. Serves battered women, children,and families.","Domestic Violence, Legal: Services, Hotlines, TDD",800-572-2782,408-295-4011,ywca-sv.org/programs/SN/,,375 3rd St,408-295-0608,"San Jose, CA","Private insurance, Sliding scale, Free",95112,Wheelchair,M-F 9am-5pm,"SPA, VIE, AMH"
Sure Helpline Center,CA Rape Crisis Center- El Centro. Counseling and 24 hour hotline,CA Rape Crisis Center  ,760.352.7873,760-352-7878,surehelplinecrisiscenter.org,Info@SureHelplineCrisisCenter.org,"210 Wake Avenue, Suite B",760-352-7875,"El Centro, CA",Free,92243,Wheelchair,8-5 pm hours of operation,SPA
Survivors Healing Center,"High quality support services to survivors of child sexual abuse, ages 18+. Therapy groups, retreats, outings, events, crisis support, some individual therapy and references, and group therapy.","Counseling: Licensed, Child Sexual Abuse (Adult, Client) Male Survivors, LGBQQ, Support Groups",831-685-3737,831-423-7601,survivorshealingcenter.org,info@survivorshealingcenter.org,"104 Walnut Avenue, Suite 201",831-469-8315,"Santa Cruz, CA","Private insurance, Sliding scale",95060,Wheelchair,M-F 10am-4pm,SPA
Survivors International,"Dedicated to providing essential psychological and medical services to survivors of torture who have fled from around the world to the San Francisco Bay Area. Services include ongoing individual, family and group therapy. Psychological and medical evaluations for asylum claims. Case management and referrals. Serves adult survivors of torture, gender-based persecution and LGBTQ persecution.","Legal: Services, Counseling: Licensed, Immigrant Resources, LGBQQ, Support Groups",,,survivorsintl.org,info@survivorsintl.org,2727 Maripose st Suite 100,415-546-2084,"San Francisco, CA",$0-25,94110,Wheelchair,M-F 9am-5pm,
Survivors Network/People Abused by Priests (SNAP),"A volunteer self-help organization of survivors of clergy sexual abuse and their supporters. Services include group meetings for sexual abuse survivors, ages 18+.","Ritual Abuse, Hotlines, Support Groups",877-762-7432,650-743-4787,snapnetwork.org,bgpez@comcast.net;bpelzl@snapnetwork.org,201 West Orange Avenue,,"South San Francisco, CA",Free,94521,,"1st Th of every month, 7pm",
Survivorship/Family Justice Center,"Referrals, information on safety, programming, indoctrination, and recovery for survivors of ritual abuse, torture & mind control. Services include in-service training, presentations and public speaking, mentorship program for survivor advocates, quarterly newsletter provides resource listings, pen pal service, information on current legislation, advocacy, public events. Serves persons with dissociative disabilities.",Ritual Abuse,,,survivorship.org,info@survivorship.org,470 27th St.,,"Oakland, CA","Sliding scale, Free-$35",94612,,,Materials in braile
Susan Wachob,"Private therapy practice. Traumatology. Focus is on gay male incest and rape survivors, and women rape and incest survivors, hate crimes, domestic violence (including same sex partners), DID, random street violence and others. Serves adult survivors of adult and child sexual assault.","LGBQQ, Child Sexual Abuse (Adult, Client), Counseling: Licensed",,415-626-5415,gaylesta.org,susan@swachob.com,533A Castro St.,,"San Francisco, CA","Private insurance, Sliding scale",94114,,,
Susanne Bersbach,"Somatic-based life coaching and spiritual counseling. Body-centered creative practices to help relieve stress, trauma, and anxiety. Increase self-esteem, balance emotions and build confidence in the future. Services include muscular therapy, expressive arts, dance therapy, sexuality healing for women, death and dying, yoga. Also offers personalized ceremonies and small group workshops. She does phone, email, & skype session. Serves women ages 18+.",Somatic Healing,,415-927-3093,,tigerfire@earthlink.net,,,"Larkspur, CA",$65-100/hr,94939,,Tu-F 10am-6pm,
T.E.A.C.H - Modoc Crisis Center,"CA Rape Crisis Center- Alturas. T.E.A.C.H.- Training, Emplyoment, and Community Help. Alt Crisis line 530-233-4575. Counseling and advocacy services.",CA Rape Crisis Center,855-855-6745,530-233-3111,teachinc.org/,info@teachinc.org,112 E 2nd St.,530-233-4744,"Alturas, CA",Free,96101,Wheelchair,8-5 business hours,SPA
Tahoe Safe Alliance,CA Rape Crisis Center- Tahoe,CA Rape Crisis Center,800-736-1060,775-298-0010,tahoewomenservices.org,trisha@tahoewomenservices.org,948 Incline Way,775-298-0011,"Incline Valley, NV",,89451,,,
TALK Line Family Support Center,"Comprehensive family support center. Services include support groups (including SPA), respite care, drop-in center for parents & kids, counseling, parent education, home visits, substance abuse outreach and recovery services, 24 hour hotline. Serves parents, care givers and children. Children must be under 18 and live in SF Bay Area.","Significant Others, Hotlines, 24-Hour Services",415-441-5437,415-387-3684,talklineforparents.org,talkline@sfcapc.org,1757 Waller St.,415-386-0959,"San Francisco, CA",Free,94117,Wheelchair,M-F 9am-5pm (drop in until 2 pm,SPA
TAPP - Teenage Pregnancy & Parenting Project,"Citywide continuous case management services program. Case managers help to ensure that pregnant and parenting teens have access to all available health, education, and social services to which they are eligible.",Youth,,415-695-8300,fsasf.org,www.sfa-sf.org,"2730 Bryant St., 2nd Fl",415-824-2416,"San Francisco, CA",Free,94110,Wheelchair,M-F 8:30am-5pm,SPA
Tenderloin Housing Clinic,"Non-profit agency serving low-income tenants in the Tenderloin. Employment services, support groups, community services. Has modified payment program for hotels in the area, law offices for eviction and other tenant/landlord disputes. Serves clients ages 18+, homeless, people with substance abuse issues and /or mental illness","Shelter/Transitional Housing, Support Groups, Housing Assistance, Job/Employment Services",,415-771-2427,thclinic.org,,126 Hyde St,415-921-8691,"San Francisco, CA",Free,94102,Wheelchair,M-F 9am-4:30pm,"SPA, CAN, VIE, FRE"
Tenderloin Self Help Center (Hospitality House),"Non-traditional mental health center. No documentation required. Services include women's, Latino, Transgender, Alcohol/Drug, men's support groups. Peer counseling, referrals, employment, case management, housing. 90-day adult residential program for men. Serves clints ages 15+, homeless and residents of Tenderloin.","Substance Abuse, Counseling: Licensed, Shelter/Transitional Housing",,415-749-2100,hospitalityhouse.org,info@hospitalityhouse.org,290 Turk St.,415-749-2136,"San Francisco, CA",Free,94102,,M-F 7am-7pm,SPA
The Arab Cultural and Community Center,"Youth Programs, Social Services, Cultural events, advocacy, domestic violence, women's program, health education and more for Arab populations. Counseling, therapy, wellness team. Therapy is sliding scale.","Immigrant Resources, Domestic Violence",,415-664-2200,arabculturalcenter.org,info@arabculturalcenter.org,2 Plaza St.,415-664-2280,"San Francisco, CA",Sliding scale,94116,Wheelchair,M-F 10-5,SPA
The CBHS Anchor Program,Provides psychotherapeutic services to adults with developmental disabilities. Full service mental health clinic.,"Disability, Counseling: Licensed",,415-452-2200,,,1701 Ocean Ave Suite 24,,"San Francisco, CA",Sliding scale/MediCal/Medicare or no insurance,94112,Wheelchair,8:30-5 Mon/Tues/Thurs/Fri.12-5 Weds,SPA
The Legal Aid Society - Employment Law Center,"Lesbian, Gay, Bisexual, Transgender Workers' Rights Project provides free legal help about work related concerns based on sexual orientation or gender identity. TDD: 415-593-0091","Job/Employment Services, LGBQQ, Legal: Attorney",,415-864-8848,las-elc.org/TDD,info@las-elc.org,180 Montgomery St #600,415-593-0096,"San Francisco, CA",,94104,,,
The Men's Center for Counseling and Psychotherapy,"Counseling and psychotherapy for men. Services include Grief and Depression, Relationship and Intimacy, Anger, Life Transitions, Work Stress, Family and Fatherhood, Sexuality and Body-Related Issues, Communication Skills, Addictions. Serves men, both survivors and perpetrators.","Counseling: Licensed, Perpetrators",,510-644-8262,psychotherapist.com/MENSCENTER/,jsaah@igc.org,2925 Shattuck Ave.,,"Berkeley, CA",$35/week,94705,,Evenings,
The Morris Center for Healing,"Guided self-help recovery and prevention program for adult survivors of child abuse, physical, sexual, and emotional abuse. Services include ASCA meetings scheduled at various places and times in SF, Alameda, Sonoma, San Mateo, Santa Clara Counties.","Child Sexual Abuse (Adult, Client) Counseling: Peer",415-928-4576,415-937-1854,ascasupport.org,info@ascasupport.org,PO Box 281535,415-452-6253,"San Francisco, CA",$0-20,94128,,M-F 9am-3pm,
The National Human Trafficking Resource Center,24/7 hotline support,"Hotlines, Emergency Services",1-888-3737-888,202-745-1001,polarisproject.org,NHTRC@PolarisProject.org,P.O. Box 65323,202-745-1119,"Washington D.C.,",,20035,,,
The Revelation Law Firm,"Discrimination and harassment firm; employment law; holistic services include workshops, discussion groups, referrals for survivors of sexual harassment or assault. Toll Free # 1-888-665-4155. Serves mostly women, people of color, working class, lgbtq. TDD: 1-888-665-4155","Legal: Attorney, Job/Employment Services, TDD",,510-665-4195,revelationlaw.com,office@revelationlaw.com,1001 Santa Clara Ave Suite A,510-665-4197,"Alameda, CA",Contingency,94501,Wheelchair,M-F 9am-5pm,SPA
The SAGE Project (Standing Against Global Exploitation),"Organization to prevent and heal sexual exploitation and violence. Services include trauma recovery, acupuncture, substance abuse recovery, counseling, mental health services and vocational training. Serves all escaping or still involved in prostitution or other exploitive or violent situations.","Sex Workers, Counseling: Peer",,,sagesf.org,info@sagesf.org,"68 12th Street, 2nd Floor",415-554-1914,"San Francisco, CA",,94103,Wheelchair,M-F 9am-5pm,"SPA, RUS, CAN, CHI, VIE"
The Women's Community Clinic,"Alternative to general hospital if they don't want to deal with cops, or social workers. Some drop-in times available. Provides STD screening and treatment, pelvic exams, emegency contraception, birth control, pregnancy counseling and testing, and breast exams. Serves rape victims seeking discrete post-trauma care. Transgender friendly.","Medical/Health Services, Transgender, LGBQQ",,415-379-7800,womenscommunityclinic.org/,,"1833 Fillmore Street, 3rd Floor",415-379-7804,"San Francisco, CA",Sliding scale,94115,,,
Third Street Youth Center and Clinic,Comprehensive health care including physical and sexual health. Services include HIV rapid testing and STD test. Drop in every week day 1-5. Counseling services Tues/Thurs. Serves youth ages 12-24.,"Medical/Health Services, Youth",,415-822-1707,3rdstyouth.org,,1728 Bancroft Ave,415-822-1723,"San Francisco, CA","Free for youth, MediCal and public insurance",94124,Wheelchair,M-F 1pm-5pm,SPA
Tom Waddell Urban Health Clinic,"Comprehensive medical clinic. No documentation required. Services include ""Transgender Tuesday afternoon""- care focusing on the transgendered community. Urgent care unit at a separate location: 50 Dr. Tom Waddel Place. Latina, Women's , HIV (just treatment) & Mental Health Clinics.","HIV/AIDS, Medical/Health Services, LGBQQ",,415-355-7400,sfhealthnetwork.org/primary-care-3/tom-waddell-urban-health-clinic/,,230 Golden Gate Avenue,415-554-2919,"San Francisco, CA","Private insurance, Sliding scale",94102,Wheelchair,M-F 8am-5pm,"SPA, FRE, GRE, GER"
"Trans, Gender Variant, and Intersex Justice Project","Mission is to challenge and end the human rights abuses committed against transgender, gender variant, genderqueer and people with intersex conditions in CA prisons and beyond. Services include Legal Services and Advocacy, Community Organizing, Leadership Development, Transforming Justice Coalition.","Legal: Services, Transgender, LGBQQ",,,tgijp.org,info@tgijp.org,1372 Mission St.,415-252-1554,"San Francisco, CA",,94103,,,
Trans: Thrive--API Wellness Center,"Drop-in center for trans community. Run by trans people. Transgender Health & Resource Initiative for Vital Empowerment. Services include Educational Workshops, support groups, drop in center, testing & counseling for HIV and Hep C, referrals, social events, computer lab, showers, clothing closet, library, yoga, meditation.","Transgender, Medical/Health Services, Support Groups, Emergency Services, LGBQQ  ",415-292-3400,415-409-4101,transthrive.org,niko@apiwellness.org,730 Polk Street 4th Floor,415-409-4105,"San Francisco, CA",,94109,,M-F 10am-6pm,
Transgender Law Center,"Free legal clinics on transgender rights. Provides legal info, referrals to attorneys.","Transgender, Legal: Services",,415-865-0176,transgenderlawcenter.org,info@transgenderlawcenter.org,1800 Market St.,877-847-1278,"San Francisco, CA",,94102,,,SPA
Transgender SF,"Serves the social, education, and outreach needs of the Trans Community in SF. Annual membership:$35 Social Gatherings, Group Hikes, Resouces, Education, Cotillion. Serves Transgendered Individuals, their family, friends, and Allies.","Transgender, Support Groups, Significant Others, LGBQQ",,415-839-9448,tgsf.org,transgendersanfrancisco@yahoo.com,1800 Market St Box 86,,"San Francisco, CA",,94102,Wheelchair,,
Tri- Valley Haven,CA Rape Crisis Center and shelter- Livermore. Alt Crisis line: 925-449-5842. Counseling is on a sliding scale. Shelter is free.,"CA Rape Crisis Center, Counseling: Peer",800-884-8119,925-449-5845,trivalleyhaven.org,christine@trivalleyhaven.org,3663 Pacific Ave.,925-449-2684,"Livermore, CA",Sliding scale & Free,94550,,Monday-Thursday 9am-5pm,
Trikone,"Trikone is a non-profit organization for lesbian, gay, bisexual, and transgendered people of South Asian decent. Publishes The Trikone Magazine, Conferences, cultural nights, film fests, dances. Trikone Editor: P.O. Box 14161, San Francisco, CA 94114.","LGBQQ, Transgender, Asian/Pacific Islander",775-573-8745,,trikone.org,contact@trikone.org,60 29th Street #614,,"San Francisco, CA",,94110,,,
UCSF Alliance Health Project,"Mental health and wellness for LGBTQ and HIV affected communities, ages 12+. Services include information and referral, psychotherapy (up to 20 sessions), support groups, substance abuse treatment, and HIV counseling and testing. Intakes M/W/F.","HIV/AIDS, Medical/Health Services, LGBQQ",,415-476-3902,ucsf.ahp.org,ahpinfo@ucsf.org,1930 Market Street,,"San Francisco, CA",Free,94102,Wheelchair,,SPA
